contributor_state,total_dollars
CA,26310973.44
NY,10755273.709999999
WA,6201746.029999999
MA,6000090.84
TX,4955257.77
FL,4790403.6
GA,4423402.52
IL,4216142.52
PA,3607792.3699999996
MD,3374598.57
VA,3305814.96
CO,3059632.83
OR,2947936.31
NJ,2846613.5
NC,2317830.02
MI,2025426.2000000002
DC,1952179.6500000001
AZ,1928108.84
OH,1721490.2
MN,1674767.45
CT,1661280.28
WI,1217502.05
TN,975227.96
NM,975024.88
MO,861365.62
IN,747272.51
NV,623812.19
SC,612096.5
NH,547746.95
HI,528365.46
VT,481399.14
UT,464614.81
KY,464598.49
ME,457938.22000000003
AL,412749.2
IA,412555.67
KS,412299.35
LA,411169.41
RI,391583.07
OK,337374.45
ID,324044.14
ZZ,314712
DE,301084.36
AK,264652.76
AR,244897.3
MT,238765.61
NE,193866.26
WV,142778.68
MS,129080.28
WY,107030.08
SD,92339.99
ND,49113.57
AE,48866.14
PR,20263.91
ON,19023.21
BC,18756.39
AP,17111.45
VI,11493.05
GU,8893.36
AA,8670.13
QC,4872.32
AB,3384.01
IR,3012.5099999999998
NS,2679.19
YT,925.51
SK,730.82
AS,729.67
NB,667.16
MP,651
PE,469.5
MB,337.69
GE,300
SA,226.67000000000002
ZH,216
VD,150
BE,100
BL,100
SO,100
TI,76.66
NL,66.67
TR,60
IE,50
SE,50
NT,48
FI,16.67
PO,16.67
RJ,10
DF,5
VR,5
