zip_code,demtotal,goptotal,winner,advantage,city,state,zipname,num_returns,total_agi_value,avg_agi,avg_agi_rank
10024,461941.57,21277.16,D,440664.41000000003,New York,NY,"10024 (New York, NY)",30410,9984610,328333.1141072016,147
10025,432180.55,23949.47,D,408231.07999999996,New York,NY,"10025 (New York, NY)",45610,6826320,149667.1782503837,846
94114,413873.9,4116.66,D,409757.24000000005,San Francisco,CA,"94114 (San Francisco, CA)",20360,4324445,212399.06679764244,377
94110,405725.04,2744.16,D,402980.88,San Francisco,CA,"94110 (San Francisco, CA)",38770,4590850,118412.43229301006,1460
10023,395714.11,53242.1,D,342472.01,New York,NY,"10023 (New York, NY)",34070,11766656,345367.067801585,125
94117,328673.82,2513.33,D,326160.49,San Francisco,CA,"94117 (San Francisco, CA)",23140,3644629,157503.4140017286,748
94025,319199.93,14505.81,D,304694.12,Menlo Park,CA,"94025 (Menlo Park, CA)",19590,6484164,330993.5681470138,143
10011,318060.26,19518.98,D,298541.28,New York,NY,"10011 (New York, NY)",29920,7972017,266444.4184491979,232
11201,317160.69,9226.19,D,307934.5,Brooklyn,NY,"11201 (Brooklyn, NY)",31970,6204145,194061.46387238035,461
11215,315384.29,6825.78,D,308558.50999999995,Brooklyn,NY,"11215 (Brooklyn, NY)",32930,4521918,137319.10112359552,1038
02138,300846.12,2155,D,298691.12,Cambridge,MA,"02138 (Cambridge, MA)",14990,2874981,191793.2621747832,474
94611,296649.59,33394.88,D,263254.71,Oakland,CA,"94611 (Oakland, CA)",20720,4334172,209178.18532818533,394
98112,284885.96,32320.46,D,252565.50000000003,Seattle,WA,"98112 (Seattle, WA)",12350,2842195,230137.24696356273,326
20815,275763.62,38274.54,D,237489.08,Chevy Chase,MD,"20815 (Chevy Chase, MD)",14570,3963811,272052.91695264244,223
10003,267750.92,33703.31,D,234047.61,New York,NY,"10003 (New York, NY)",28660,6622842,231083.11235170971,320
