zipname,demtotal
"10024 (New York, NY)",461941.57
"10025 (New York, NY)",432180.55
"94114 (San Francisco, CA)",413873.9
"94110 (San Francisco, CA)",405725.04
"10023 (New York, NY)",395714.11
"94117 (San Francisco, CA)",328673.82
"94025 (Menlo Park, CA)",319199.93
"10011 (New York, NY)",318060.26
"11201 (Brooklyn, NY)",317160.69
"11215 (Brooklyn, NY)",315384.29
"02138 (Cambridge, MA)",300846.12
"94611 (Oakland, CA)",296649.59
"98112 (Seattle, WA)",284885.96
"20815 (Chevy Chase, MD)",275763.62
"10003 (New York, NY)",267750.92
