zipname,goptotal
"30327 (Atlanta, GA)",281102.91
"33480 (Palm Beach, FL)",225216.09
"30305 (Atlanta, GA)",215917.78
"77024 (Houston, TX)",211689.99
"75225 (Dallas, TX)",138882.83
"30339 (Atlanta, GA)",128826.54
"30342 (Atlanta, GA)",122445.81
"32963 (Vero Beach, FL)",119968.7
"85255 (Scottsdale, AZ)",115353.54
"30004 (Alpharetta, GA)",115206.83
"92660 (Newport Beach, CA)",113939.31
"85253 (Paradise Valley, AZ)",112250.19
"20016 (Washington, DC)",109761.13
"10065 (New York, NY)",99687.92
"92067 (Rancho Santa Fe, CA)",98992.7
