zip5,sumtotal
10024,461941.57
10025,432180.55
94114,413873.9
94110,405725.04
10023,395714.11
94117,328673.82
94025,319199.93
10011,318060.26
11201,317160.69
11215,315384.29
02138,300846.12
94611,296649.59
98112,284885.96
20815,275763.62
10003,267750.92
20009,265762.23
20016,252838.47
98103,241074.12
94131,239645.53
60614,225724.03
10128,225693.9
20008,224231.21
30306,218933.52
98115,214241.21
94022,209749.19
98122,209132.32
30309,207792.27
90024,207430.03
94301,205736.19
94618,199657.8
10028,198563.96
20817,196796.97
94118,191625.47
94610,188711.15
94010,187759.77
94705,187069.38999999998
10014,186741.48
94107,186252.13
90049,185681.7
11217,183427.8
94115,180547.37
94109,179811.51
30030,179780.19
30307,176578
08540,176117.01
94122,172538.65
98117,171710.91
11238,171208.1
10013,170550.81
94941,162161.36
94062,161636.43
60611,160034.91
10021,159512.61
20007,154441.88
90272,152716.76
60201,150785.95
10022,148876.64
94707,147908.7
94549,145594.68
10075,145411.26
02130,144800.84
20002,144678.02
94306,143755.38
02139,141753.92
94920,140077.34
48103,139699.8
02144,139425.19
02116,138690.88
02446,138511.87
98102,138255.32
22207,137850.34
90046,137730.21
20854,134448.3
20910,134380.4
94303,134171.79
94024,133437.57
20015,133006.98
94027,132540.05
10065,130866.13
20001,130846.72
94087,130515.27
20003,130322.88
80304,129148.34
02421,128334.87
98144,127954.12
90066,127517.18
90210,127046.78
95616,126774.33
98107,126510.13
60657,126325.6
98105,126042.12
30327,125623.41
95060,124785.55
20814,123385.45
06437,123323.86
94501,123226.25
98119,121937.25
02140,121656.64
92037,121526.76
10019,121404.73
97202,120761.86
90025,120509.95
19103,119378.89
60640,119369.21
94043,118684.57
94708,118538.55
97212,118518.84
94028,118065.62
22101,117581.83
90402,117495.22
30305,116584.68
97405,113359.58
94123,112067.1
11231,111349.88
91604,111223.32
90027,111099.78
90004,110644.72
02493,110375.34
90405,110136.73
10583,110103.8
02478,110001.54
19106,109681.97
80302,109298.61
98109,109275.51
14850,109174.66
90064,108889.95
94602,108343.53
30319,108278.93
94103,107979.86
94040,107819.75
10016,105998.41
94709,105976.39
94706,105433.07
98110,105069.16
94703,104036.01
94070,103865.52
02445,103709.1
19041,103388.04
90026,103362.99
90291,103208.68
02467,102603.1
90266,102234.11
78703,101775.25
97214,101767.06999999999
90039,101201.07
98033,100915.65
95125,100412.58
48104,99497.96
94121,98366.15
30033,98330.6
10010,98292.78
22314,98096.88
94127,98061.49
10009,97134.8
94901,97018.6
94041,96911.3
87501,96255.7
20816,95871.6
20011,94932.19
90069,94661.64
30324,94613.03
78746,94496.88
98118,94376
98040,93941.64
92103,93912.42
90068,93555.11
78731,93199.2
06880,91896.33
10012,91801.33
94702,91166.84
97219,91110.39
19119,90856.22
02459,90514.42
98052,89812.03
98004,89400.67
60091,88862.46
60647,88328.59
01742,87906.91
94904,87339.72
20010,87106.07
97520,86860.9
60302,86228.19
11218,86170.78
02906,86103.16
33480,85272.84
02118,85217.55
22201,85054.73
60035,84767.14
87505,83874.06
94530,83861.5
95472,83672.28
20912,83579.41
94965,83055.51
90403,82988.55
80206,82763.11
20852,82295.88
95070,82234.22
27705,81706.49
60613,81604.25
91436,81464.62
78704,80998.02
94608,80656.01
94116,80533.12
95014,80157.17
90034,80135.45
97229,79980.62
60202,79918.07
98199,79828.13
07043,78694.95
10027,78549.17
02143,78178.06
95126,78123.18
77005,77919.3
60625,77847.52
30328,77589.03
27516,77464.34
90212,77419.28
94609,77352.02
02474,77101.47
48105,77085.97
53711,76993.51
94607,76477.28
92024,76306.52
90036,76064.14
01890,75562.62
91423,75245.68
94563,75197.36
97210,74913.83
95008,74657.08
60615,74504.27
93105,74345.23
19147,73658.65
98121,73543.76
93108,73181.52
98101,73094.75
80209,73080.23
02476,72205.16
22901,71899.33
27517,71831.63
85016,71740.87
60618,71526.05
94086,71152.95
92651,71019.06
60622,70652.61
91011,70104.16
21044,70005.88
80210,69720.68
10036,69327.88
97330,69320.35
98034,69060.02
15217,68973.82
90048,68819.66
10001,68177.71
01002,68109.2
01060,67875.23
98116,67725.38
11211,67504.46
60610,67441.27
90265,67168.53
94102,67098.69
37205,67051.47
20895,66995.87
95124,66348.63
80220,66090.71
94112,66026.53
06511,65942.28
80303,65746.45
10538,65494.83
94960,65348.85
30606,65246.07
07042,64882.27
10017,64769.87
60605,64408.13
06830,64271.9
94002,64177.28
20850,64061.64
07302,63972.7
91302,63956.06
02465,63955.61
30316,63925.16
98125,63846.89
94619,63645.89
90277,63614.77
94402,63583.15
94305,63498.1
85718,63079.49
98133,62782.51
91001,62707.04
98177,62306.43
02155,62261.95
95818,62212.76
95062,62127.36
22205,61920.75
55105,61794.37
97211,61787.77
11216,61611.65
91403,61597.5
94061,61307.23
02492,61283.24
94044,61127.7
20005,61065.15
30345,60966.04
90067,60943.9
60093,60531.39
85255,60470.79
27514,60280.52
02458,60055.67
91505,59735.35
75205,59709.41
33139,59439.29
60654,59398.33
10463,59268.58
34236,59130.04
97239,58972.8
02420,58891.17
53705,58637.73
95003,58588.53
91030,58517.43
60607,58425.76
97206,58413.08
60637,58365.49
95404,58329.04
98225,58090.73
11205,57347.4
94903,57156.95
95030,57000.4
20906,56776.21
19096,56724.37
90042,56656.4
77006,56468.05
97209,56367.58
80211,56304.83
95032,56289.26
22202,56205.9
97215,55806.57
78757,55583.99
20037,55551.23
30342,55279.68
94133,54951.41
98027,54936.98
94403,54903.09
92130,54758.36
97225,54682.53
80027,54656.23
94952,54646.97
28803,54373.35
98006,54260.32
92104,54187.64
19130,54147.49
07040,54008.56
98368,53786.05
80503,53758.2
30075,53743.98
77008,53554.24
80301,53280.65
02472,53227.15
19010,53145.01
85253,53037.56
80305,53008.909999999996
87506,52910.22
94105,52848.99
07030,52661.05
85750,52539.75
01778,52477.87
06831,52475.75
30062,52158.85
44122,52157.42
10002,52129.67
97232,52074.56
95476,52046.82
95816,51808.92
91105,51706.8
92264,51694.74
19087,51546.02
92014,51535.23
22304,51240.91
22204,51120.75
92101,51118.82
90019,51070.48
94595,51025.06
97217,51023.55
22903,51022.54
90230,50958.14
22301,50914.86
98070,50875.48
01773,50869.22
30338,50854.75
11375,50833.07
95112,50629.39
95409,50601.37
20901,50534.49
19146,50374.24
30350,50347.59
94558,50305.05
90077,50289.11
60660,50272.43
97034,50239.42
19426,50208.53
27713,50061.47
20878,49975.88
98229,49945.97
37215,49785.22
30605,49666.95
98155,49551.88
10026,49530.31
98008,49228.98
97213,49199.22
97703,48833.01
60062,48782.16
01776,48691.79
30308,48540.31
92262,48523.67
65203,48341.84
94526,48280.3
84103,48270.07
98136,48140.5
07078,48130.07
77019,48108.56
90065,47742.61
22102,47609.15
53703,47476.3
27707,47411.11
91711,47371.46
91320,47370.6
95618,47351.79
20902,47218.19
90035,47191.44
75219,47136.71
47401,47120.79
21212,47020.57
77024,46985.68
94704,46700.86
10029,46629.64
94111,46581.3
95051,46548.08
55419,46545.67
21230,46470.07
01810,46338.45
20036,46318.32
02482,46271.28
11226,46133.12
80207,46107.41
22046,46101.340000000004
85716,46014.58
11225,45618.47
11937,45607.75
98382,45535.75
11222,45480.03
98501,45412.5
91367,45070.84
92116,44867.26
77007,44858.68
61801,44807.85
94550,44744.32
94598,44708.47
53217,44676.44
80238,44577.84
33133,44444.49
22203,44440.41
97035,44259.61
94566,44221.34
11249,44185.93
19118,44183.11
80401,44181.12
21401,43988.17
90045,43948.29
97201,43912.32
55406,43865.47
32605,43861.25
30312,43856.52
48009,43812.85
94612,43807.48
94401,43697.75
55403,43566.66
80026,43514.77
98226,43490.92
22182,43470.85
53704,43394.9
95120,43390.94
80111,43372.98
78759,43359.69
98126,43354.89
94507,43303.82
31522,43264.65
91104,43110.44
92122,43020.78
44118,42979.15
87508,42958.42
98020,42897.28
21218,42873.3
98053,42804.9
77401,42594.81
53211,42589.92
95448,42577.4
91602,42400.2
94605,42383.83
30076,42380.42
28804,42371.03
60022,42325.17
97221,42022.11
30339,41950.15
33156,41926.55
07090,41873.2
94539,41838.03
98104,41775.31
80439,41715.5
07960,41640.81
22003,41566.15
70118,41528.01
93923,41487.72
22180,41454.48
78723,41394.03
01720,41349.84
07052,41294.02
21210,41228.91
95033,41215.73
22902,41093.18
77056,40707.03
75230,40700.05
30318,40680.67
91101,40458.46
15206,40437.55
20012,40364.58
87111,40338.31
94710,40280.39
21042,40221.5
11050,40219.47
94596,40212.25
07079,40117.14
07901,40044.08
53562,39997.14
90292,39983.88
93940,39795.65
10533,39769.03
92131,39656.05
30601,39569.94
55416,39558.54
20904,39507.49
02461,39430.21
90232,39391.09
78209,39286.1
97124,39246.72
02135,39098.32
33418,39034.72
90041,39010.1
90275,38953.01
80525,38941.54
96822,38891.65
02460,38815.49
98502,38750.94
33134,38741.49
19004,38729.67
92127,38724.64
30329,38550.68
78751,38494.79
