zip5,sumtotal
30327,281102.91
33480,225216.09
30305,215917.78
77024,211689.99
75225,138882.83
30339,128826.54
30342,122445.81
32963,119968.7
85255,115353.54
30004,115206.83
92660,113939.31
85253,112250.19
20016,109761.13
10065,99687.92
92067,98992.7
75205,98009.29
22102,90993.39
22101,89993.53
30319,88821.07
90210,88487.58
78746,84513.49
30328,82371.79
34108,81305.04
10028,79743.74
33143,78956.73
30097,78382.91
75093,78340.02
34102,77681.89
06840,76499.8
33408,76482.24
77019,76015.44
77056,72056.14
33133,71979.4
10019,71600.31
94022,70863.76
33418,70790.46
30022,70345.29
60093,69470.77
34134,69468.78
33139,68720.79
92037,68405.32
78209,68212.73
60010,68068.91
75230,68022.6
32082,67700.08
80113,67518.94
10128,66768.3
30068,64888.4
77005,64089.49
90265,62494.26
76092,62471.78
34103,61779.73
32789,61596.37
90274,60525.44
75201,60011.13
92625,59572.05
34145,57858.06
30064,57180.05
30075,56948.55
60614,56864.26
60611,56756.6
30067,55502.76
34236,55219.77
22207,54398.26
34110,53947.67
10583,53921.75
32034,53881.7
10538,53873.15
37205,53857.4
90049,53819.67
33414,53462.09
20007,53381.27
10023,53242.1
33629,52488.05
33156,52398.27
77479,52327.21
33401,52176.92
33432,52090.7
77057,51562.44
30350,51182.53
84060,50897.43
30009,50780.85
30062,50445.85
80202,50071.89
75034,50047.33
30642,49639.47
78703,48855.29
10021,48634.34
63105,48629.3
30326,47813.33
31522,47569.78
77027,47168.59
33487,46556.73
31411,46437.93
10022,46349.14
76034,46333.03
90272,46059.11
20817,45994.57
33410,45965.53
34996,45866.48
22066,45698.14
80111,44847.58
75219,44750.68
19807,44647.07
37027,44551.25
85262,43768.28
33483,43753.34
34105,43704.08
85266,43533.55
22314,43401.93
89135,43224
77381,42698.05
33458,42539
33908,42413.1
93108,42206.61
10075,42042.25
35213,41555.59
28277,41373.64
07078,41258.03
90275,41248.94
98004,40869.46
90024,40845.33
30188,40766.85
30076,40708.27
32162,40672.28
20854,40574.46
78731,40531.96
10017,40421.5
33477,39886.26
91316,39696.93
98101,39596.66
37215,39489.92
89052,39390.85
95070,39371.67
30040,38920.29
30024,38829.15
31904,38753.58
75209,38525.14
77845,38442.04
89145,38345.02
20815,38274.54
60610,38211.63
85718,38158.38
92629,38091.35
33316,38069.04
77002,38030.54
94010,37631.63
83001,37551.97
30606,37413.64
35242,37320.13
60045,36970.5
29928,36935.01
34119,36845.12
27609,36782.89
32163,36677.8
10580,36530.64
63124,36456.55
94024,36132.76
32207,36004.3
89511,35746.04
02465,35699.98
77379,35517.32
76132,35315.96
33496,35043.69
89451,34919.64
77339,34668.2
28207,34444.15
92663,33990.19
63131,33974.61
77429,33833.17
80206,33803.8
27104,33770.87
10003,33703.31
94611,33394.88
76262,33368.2
33455,33351.91
29401,33331.93
77077,33271.14
06830,33221.81
31036,33015.72
29464,32976.48
92651,32826.44
60126,32716.01
28211,32507.09
21784,32487.66
67206,32385.75
98112,32320.46
75248,32151.56
22308,32118.28
23451,32002.63
92014,31947.24
33469,31879.7
76109,31756.91
34228,31652.6
06824,31558.81
78734,31495.09
33149,31443.14
77007,31435.5
90077,31348.31
33446,31263.13
30041,31255.3
31210,30905.37
10014,30899.56
30909,30880.75
77079,30817.43
34135,30798.09
30263,30701.97
77450,30392.94
30338,30345.75
22302,30324.79
92705,30304.08
55118,30220.78
60062,30039.46
30269,29964.32
29910,29916.79
34242,29886.62
92679,29872.5
29607,29810.23
78701,29782.63
75214,29625.32
78624,29601.2
80906,29483.43
33154,29371.15
77382,29355.920000000002
78633,29347.22
32940,29179.88
45243,29166.97
80401,29117.62
30809,28977.16
94105,28822.24
30005,28819.63
85254,28742.08
87107,28665.34
34202,28627.23
33609,28604.16
78232,28578.45
33957,28557.78
98075,28532.17
33109,28504.3
85739,28480.69
98039,28469.98
34786,28239.33
91362,28124.03
95762,27996.62
30092,27988.36
90067,27927.9
92612,27901.32
94115,27854.02
30161,27850.27
30506,27840.43
75703,27808.15
75229,27738.55
50266,27700.59
20003,27642.15
33412,27600.79
55391,27591.11
30019,27519.5
30066,27398.97
34997,27369.32
73013,27330.14
70005,27317.2
46077,27256.6
38017,27222.9
35243,27212.08
32550,27208.44
30152,27190.75
19355,27030.95
32836,26993.29
38139,26943
94062,26783.76
98110,26716.89
33037,26626.36
06831,26568.95
30115,26529.86
19087,26503.61
28173,26351.37
32092,26180.82
92127,26156.65
37064,26079.75
80123,26065.47
92677,25966.03
23238,25895.13
84098,25867.65
22003,25751.45
33180,25591.9
34990,25385.21
45208,25293.32
20008,25207.12
33301,25141.92
83014,25140
23185,25061.15
01742,25008.29
40207,24964.61
29492,24916.17
81611,24914.28
80021,24891.27
28226,24682.85
30047,24621.13
81632,24598.31
06880,24581.64
76107,24330.98
77356,24295.17
33606,24079.83
75252,24046.23
79912,23976.88
28405,23950.19
10025,23949.47
29605,23938.97
45140,23916.07
98033,23832.76
92653,23724.62
31906,23699
33921,23668.99
91208,23519.17
32312,23451.25
28801,23429.67
07920,23319.51
83616,23315.87
71106,23304.71
95030,23301.64
39110,23256.97
60022,23128
75069,23050.54
29926,23024.55
87122,23022.62
14618,23020.64
76513,22996.76
92130,22985.29
02481,22972.65
87506,22911.06
78006,22887.28
75254,22875.64
32137,22858.41
27587,22823.06
30655,22796.84
33134,22769.97
92104,22646.02
60134,22640.94
33928,22633.4
78258,22613.12
07024,22607.7
52601,22581.63
37066,22478.64
30336,22450
92129,22408.71
34114,22403.46
78023,22367.54
78130,22358.38
85018,22335.66
22124,22329.91
39157,22318.31
84117,22189.6
29455,22184.79
30052,22123.08
80121,22111.15
33160,22107.23
54311,22067.51
32174,22046.97
76502,22040.57
95864,22027.46
75605,21943.66
06820,21940.01
15143,21933.24
02467,21925.29
75206,21915.35
43016,21899.21
36111,21885.99
29466,21851.06
06877,21846.69
46032,21837.26
78735,21828.83
53213,21776.13
95650,21734.82
91505,21686.62
10708,21535.05
22030,21483.49
94549,21457.45
31406,21400.63
23221,21364.53
78628,21343.11
33062,21338.22
94941,21336.5
10024,21277.16
35801,21273.38
78738,21252.32
33433,21239.68
98006,21074.49
66208,21065.66
60091,21036.48
34229,20996.89
70810,20924.37
34787,20910.94
98382,20900.54
75220,20846.49
93711,20843.87
94123,20748.84
92603,20739.39
63141,20716.79
33308,20671.44
30117,20669.03
03801,20629.07
30309,20577.37
77098,20576.98
38117,20571.24
92708,20566.14
20037,20546
30907,20530.28
85260,20509.89
85203,20506.55
30096,20501.11
90740,20492.61
89521,20465.56
87111,20450.15
37716,20441.47
33611,20407.81
80134,20404.29
94901,20403.3
15238,20366.14
35216,20365.42
85750,20358.91
77494,20228.81
85340,20224.18
78212,20199.98
94118,20182.06
72404,20161.1
84790,20150.91
35811,20140.67
59937,20139.98
75022,20045.71
92649,20034.52
80108,20000.54
19015,19998.82
33647,19967.54
10036,19959.91
53066,19943.81
32779,19892.34
91105,19845.1
92270,19830.84
91761,19802.21
33146,19787.32
30901,19763.34
10803,19757.92
98607,19749.98
79707,19742.97
92064,19664.05
07960,19652.54
11791,19634.12
11560,19579.81
92024,19555.97
14051,19548.49
60181,19519.4
10011,19518.98
48843,19476.51
94111,19468.17
90025,19414.56
89012,19379.56
86305,19362.31
01890,19321.34
94920,19316.66
78732,19301.75
30101,19288.58
92673,19286.23
48170,19282.75
78215,19273.3
75025,19243.86
07871,19241.59
78230,19224.91
34109,19220.29
75078,19219.72
33813,19180.21
02493,19137.99
34201,19053.31
34293,18924.9
85383,18882.26
07928,18873.5
91302,18865.52
77807,18864.13
63017,18822.24
29803,18780.57
10013,18750.66
19607,18729.08
63122,18728.43
77063,18727.23
77546,18712.76
78759,18660.12
33140,18650.06
55113,18629.15
07450,18599.6
37922,18593.86
31069,18579.98
98104,18575
92692,18536.05
35223,18497.19
78641,18472.09
32541,18464.98
30265,18454.35
77459,18447.9
32309,18446.93
30677,18446.81
30533,18427.31
32724,18385.29
30345,18383.54
85086,18378.9
37919,18318.08
90803,18309.23
75032,18295.24
48304,18268.5
40059,18255.37
30028,18252.97
90505,18246.32
44124,18243.88
77406,18240.94
33404,18235.62
23226,18220.98
33064,18214
