contributor_state,total_dollars
CA,6776895.08
TX,6572833.43
FL,6460650.59
GA,4364618.54
NY,2479219.59
VA,1890726.23
IL,1650255.53
AZ,1547167.49
PA,1469174.23
NC,1389294.11
CO,1386772.22
WA,1329598.37
OH,1201732.42
NJ,1131895.44
MI,1090944
TN,1062844.8800000001
SC,972799.27
MA,832768.6
MD,776525.01
MO,746432.9
AL,726070.34
NV,715170.21
LA,657551.92
CT,637772.49
WI,614490.7
IN,601881.27
MN,592851.8
UT,517778.63
OR,514274.14
OK,496728.08
KS,425033.85
KY,390532.6
AR,327682.74
IA,321076.75
DC,304588.88
NM,297774.23
MS,290296.24
ID,274648.38
MT,217551.68
NE,190931.04
NH,186834.32
DE,170060.32
WY,154810.48
AK,140061.02
HI,129443.52
WV,112253.6
SD,109235.04
ME,103880.52
ND,96806.64
RI,72967.76
VT,37516.16
AE,13700.4
PR,8860.99
AP,1815.65
GU,1606.68
VI,865.99
Ca,466.67
KA,250
AA,100
Va,75
AS,60
MP,20
